logical data size (B), logical chunk num, unique data size (B), unique chunk num, online size (B), total process time (s), enclave speed (MiB/s)
208250880, 24641, 207122891, 24495, 100654960, 1.030979, 192.635850
420976640, 49838, 343883169, 39626, 167856699, 0.833614, 243.363348
640409600, 75769, 480951594, 54678, 234554215, 0.859422, 243.498047
864501760, 102154, 615776387, 69374, 300239983, 0.869239, 245.859812
1092659200, 128934, 760639837, 85204, 370933548, 0.900268, 241.692352
1326612480, 156457, 913110906, 101934, 445380866, 0.941649, 236.940977
1563217920, 184290, 1067086366, 118788, 520682493, 0.951644, 237.110234
1803356160, 212510, 1227283855, 136407, 599158786, 0.976459, 234.534857
2049822720, 241451, 1397466120, 155151, 682755922, 1.014756, 231.630883
2300139520, 270745, 1554665685, 172102, 759435307, 1.025192, 232.854629
2554542080, 300593, 1715971804, 189672, 837792534, 1.036974, 233.966510
2817464320, 331389, 1885698253, 208165, 920282293, 1.064252, 235.604150
3082168320, 362473, 2056620195, 226816, 1003671796, 1.055811, 239.097155
3355002880, 394467, 2249505687, 248136, 1097797331, 1.129543, 230.354500
3639654400, 427730, 2446105951, 269719, 1193673939, 1.187707, 228.562132
3929231360, 461573, 2642868685, 291289, 1289461552, 1.267622, 217.858407
4223057920, 495907, 2845343213, 313484, 1388374089, 1.286044, 217.889002
4533319680, 533891, 3055374134, 338250, 1490071035, 1.326185, 223.112667
4869498880, 573226, 3288730076, 363914, 1602875341, 1.551581, 206.631474
5222645760, 614460, 3527677934, 390057, 1718297707, 1.496043, 225.118602
5588357120, 657190, 3767058441, 416136, 1833634727, 1.549866, 225.032055
5970749440, 701984, 4022803683, 444128, 1956473218, 1.647269, 221.383232
6365849600, 748244, 4281805935, 472329, 2080690715, 1.691030, 222.820929
6770524160, 795533, 4539452538, 500237, 2204445410, 1.630828, 236.645271
7183421440, 843831, 4803542209, 528928, 2330728825, 1.689241, 233.104413
7597076480, 892453, 5064122709, 557325, 2455574488, 1.685037, 234.114852
8028426240, 943081, 5347599334, 588339, 2591026447, 1.774466, 231.825906
8468920320, 994732, 5618093235, 617593, 2720124264, 1.658483, 253.296471
8918517760, 1047519, 5905656166, 648825, 2857749941, 1.844091, 232.509964
9369497600, 1100481, 6177498332, 678191, 2988052255, 1.830737, 234.926093
9891061760, 1161683, 6631310292, 730293, 3203163432, 2.508543, 198.283364
10425190400, 1224165, 6949135668, 764459, 3354117022, 2.104137, 242.087262
10969159680, 1287906, 7270247371, 799067, 3506600530, 2.101744, 246.828125
11518976000, 1352398, 7592912324, 833924, 3660038461, 2.160059, 242.746010
12079032320, 1418053, 7925229976, 869731, 3817459631, 2.135984, 250.053993
12650547200, 1485051, 8269312100, 906885, 3980076728, 2.230460, 244.361729
13229209600, 1552883, 8610980264, 943650, 4141537004, 2.293065, 240.662811
13805813760, 1620506, 8953041890, 980487, 4303195792, 2.312794, 237.761157
14386237440, 1688546, 9294603528, 1017268, 4465139877, 2.274630, 243.351735
14970695680, 1757006, 9640069539, 1054333, 4628802140, 2.325619, 239.670734
15425167360, 1810412, 9911406345, 1083547, 4758303941, 1.803792, 240.281567
15886080000, 1864540, 10189212551, 1113534, 4891105837, 1.879505, 233.870379
16352163840, 1919273, 10465661096, 1143338, 5023078111, 1.866964, 238.082892
16824729600, 1974837, 10747386683, 1173737, 5157832769, 1.940470, 232.249830
17304453120, 2031182, 11028976023, 1204027, 5292106574, 1.937203, 236.165234
17793658880, 2088613, 11306693526, 1233728, 5424127671, 1.919056, 243.110659
18292684800, 2147190, 11593204633, 1264387, 5560013927, 1.977631, 240.645602
18798346240, 2206496, 11876362472, 1294554, 5694329950, 2.021205, 238.588529
19312179200, 2266715, 12150398334, 1323504, 5823955378, 1.910154, 256.539157
19902177280, 2335940, 12489094108, 1359838, 5983971351, 2.310777, 243.496458
20615280640, 2419066, 13077690238, 1426420, 6255014159, 3.248384, 209.355901
21337559040, 2503193, 13492750308, 1471068, 6449872180, 2.969708, 231.948178
22117294080, 2593570, 13956496725, 1520912, 6655969816, 2.996397, 248.169145
22935326720, 2687808, 14407514754, 1568890, 6859855463, 3.034340, 257.102605
23760384000, 2782874, 14838437071, 1615142, 7060669888, 3.077175, 255.700744
24594739200, 2878878, 15284296250, 1662942, 7268794668, 3.164471, 251.449018
25430681600, 2975128, 15725714597, 1710128, 7473468411, 3.154854, 252.695306
26264494080, 3070965, 16164609531, 1757037, 7676806441, 3.151480, 252.321305
27094425600, 3166442, 16595252208, 1803100, 7877939846, 3.066291, 258.124351
27933890560, 3262959, 17033027647, 1849992, 8082380416, 3.073386, 260.486698
28529817600, 3332759, 17377600787, 1886832, 8245446430, 2.350102, 241.827934
29384591360, 3430872, 17821510252, 1934164, 8450838788, 3.206281, 254.243400
30015549440, 3504712, 18178220181, 1972423, 8619167413, 2.449668, 245.636762
30656389120, 3579605, 18529206646, 2009807, 8784526817, 2.521435, 242.382748
31304744960, 3655420, 18886528805, 2047926, 8953007113, 2.512854, 246.062968
31962798080, 3732183, 19242462056, 2085663, 9120661787, 2.478162, 253.239441
32629002240, 3809922, 19606090117, 2124329, 9292131557, 2.566313, 247.569878
33305978880, 3888789, 19966345083, 2162403, 9461672478, 2.645672, 244.026937
33992949760, 3968924, 20325995601, 2200450, 9630804646, 2.585543, 253.388354
34688532480, 4050053, 20677381896, 2237353, 9795450791, 2.586395, 256.480304
35551836160, 4149217, 21119663880, 2284535, 10000116977, 3.227986, 255.053940
36571084800, 4265450, 21893659608, 2371143, 10338379605, 4.470010, 217.456169
37635307520, 4386386, 22408755401, 2425654, 10566443495, 3.899598, 260.263205
38705633280, 4508081, 22895215145, 2477154, 10788399121, 3.721142, 274.308851
39797422080, 4632072, 23410168790, 2531806, 11020820745, 4.015664, 259.287365
40669081600, 4732223, 23848856535, 2578458, 11224578006, 3.264234, 254.662900
41540311040, 4832181, 24291221580, 2625447, 11428474571, 3.227660, 257.421519
42453647360, 4936619, 24729783746, 2671964, 11630471727, 3.324042, 262.038022
43391784960, 5043629, 25170334985, 2718584, 11832852266, 3.387761, 264.091161
44339476480, 5152164, 25614745161, 2765822, 12036467801, 3.395626, 266.162723
45297090560, 5261707, 26053001409, 2811976, 12237120278, 3.449114, 264.778709
46262865920, 5372102, 26494109032, 2858319, 12439451137, 3.461219, 266.101381
47246745600, 5484739, 26944336428, 2905801, 12645363749, 3.540250, 265.038000
48257771520, 5600065, 27378413830, 2950934, 12842848523, 3.911430, 246.505614
49277399040, 5731739, 27852925304, 3017224, 13061588793, 3.642030, 266.991919
50296299520, 5863315, 28202607469, 3067312, 13221627692, 3.427950, 283.463650
51315251200, 5994894, 28550960051, 3117225, 13381004060, 3.310132, 293.567763
52334315520, 6126492, 28898759679, 3167083, 13540196193, 3.403125, 285.577365
53353451520, 6258093, 29246788347, 3216960, 13699469498, 3.372176, 288.218595
54372659200, 6389710, 29594298207, 3266777, 13858548553, 3.265165, 297.685473
55391877120, 6521331, 29941893029, 3316599, 14017559428, 3.394013, 286.387222
56411115520, 6652951, 30289425479, 3366420, 14176361037, 3.283827, 296.002647
57475020800, 6789356, 30670084455, 3420253, 14351152919, 3.482055, 291.385156
58538926080, 6925770, 31021211254, 3470576, 14511665450, 3.373933, 300.722967
59602882560, 7062177, 31372754456, 3520920, 14672418016, 3.417714, 296.884985
60666931200, 7198603, 31724239727, 3571264, 14833059258, 3.435693, 295.356966
61731010560, 7335032, 32075439703, 3621567, 14993603928, 3.408263, 297.742620
62795141120, 7471465, 32426317718, 3671829, 15153917690, 3.452585, 293.934540
63859333120, 7607907, 32777087631, 3722086, 15314241117, 3.447158, 294.414291
64923545600, 7744382, 33128584827, 3772484, 15474696052, 3.353301, 302.660605
65993615360, 7881525, 33508605603, 3826224, 15649622409, 3.601080, 283.386664
67063726080, 8018709, 33862116061, 3876836, 15811097061, 3.457338, 295.180023
68133898240, 8155889, 34215601003, 3927427, 15972627790, 3.448044, 295.992656
69204080640, 8293084, 34568689561, 3977998, 16133951357, 3.434460, 297.166212
70274334720, 8430283, 34921555053, 4028520, 16295115848, 3.468824, 294.242034
71344599040, 8567471, 35273441767, 4078922, 16455836433, 3.472599, 293.924981
72414904320, 8704660, 35626008752, 4129407, 16616888475, 3.456221, 295.329105
73485219840, 8841866, 35978074567, 4179847, 16777709590, 3.520742, 289.919688
74555535360, 8979067, 36330112970, 4230278, 16938284387, 3.462903, 294.762060
75647006720, 9118659, 36718737365, 4285082, 17116478693, 3.626567, 287.023017
76738508800, 9258267, 37075851195, 4336213, 17279401757, 3.544171, 293.704085
77830041600, 9397878, 37431939449, 4387209, 17441794238, 3.556982, 292.654502
78921697280, 9537501, 37788427434, 4438231, 17604411967, 3.527645, 295.121528
80013383680, 9677136, 38144223398, 4489194, 17766717616, 3.524209, 295.417576
81105100800, 9816774, 38500002996, 4540152, 17929013454, 3.565274, 292.023160
82196869120, 9956428, 38856659098, 4591239, 18091745454, 3.541064, 294.033490
83288647680, 10096075, 39212190313, 4642169, 18253701458, 3.519510, 295.836969
84415201280, 10239271, 39691807369, 4707398, 18469603649, 3.902352, 275.312231
85541754880, 10382472, 40054924660, 4759302, 18635288683, 3.636709, 295.422382
86668349440, 10525662, 40416817942, 4811009, 18800239118, 3.632127, 295.805818
87795005440, 10668864, 40778212398, 4862690, 18965073995, 3.634919, 295.594727
88921702400, 10812072, 41139497015, 4914367, 19129727146, 3.616740, 297.091290
90048419840, 10955274, 41500104009, 4965966, 19294126173, 3.575813, 300.497113
91175147520, 11098477, 41860360892, 5017529, 19458328296, 3.709209, 289.692829
92301885440, 11241713, 42222653162, 5069377, 19623264071, 3.705245, 290.005388
93438648320, 11386306, 42673149839, 5131998, 19831025752, 3.899389, 278.018316
94575452160, 11530889, 43037933715, 5184203, 19997333077, 3.651026, 296.941360
95712307200, 11675476, 43403850698, 5236514, 20164152172, 3.622000, 299.334471
96849213440, 11820075, 43769684520, 5288837, 20330971865, 3.675162, 295.017820
97986150400, 11964694, 44134222678, 5341013, 20497115645, 3.662611, 296.036783
99123128320, 12109300, 44498902157, 5393176, 20663309614, 3.663713, 295.958401
100260136960, 12253926, 44863438639, 5445320, 20829422472, 3.607797, 300.553478
101397155840, 12398548, 45228399669, 5497542, 20995519630, 3.642062, 297.728513
102548981760, 12545097, 45696227688, 5562081, 21210256463, 3.914599, 280.607745
103700858880, 12691644, 46065664920, 5614873, 21378620842, 3.694834, 297.311226
104852695040, 12838179, 46435059172, 5667656, 21546872144, 3.657883, 300.303909
106004582400, 12984719, 46803666108, 5720356, 21714792207, 3.667047, 299.566761
107156531200, 13131282, 47173497369, 5773211, 21883257203, 3.688509, 297.839584
108308510720, 13277837, 47541313788, 5825817, 22050757109, 3.697773, 297.101331
109460510720, 13424392, 47908797609, 5878396, 22218141348, 3.680301, 298.517108
110612531200, 13570948, 48275308610, 5930869, 22385045487, 3.680159, 298.533934
111764561920, 13717508, 48642399864, 5983398, 22551967901, 4.599818, 238.849039
112924160000, 13865135, 49100153016, 6046844, 22762832895, 3.940958, 280.611695
114083840000, 14012779, 49474191813, 6100271, 22933113505, 3.663748, 301.864929
115243591680, 14160436, 49846745120, 6153532, 23102781012, 3.727740, 296.701323
116403363840, 14308094, 50218033809, 6206651, 23271748392, 3.715156, 297.711569
117563156480, 14455751, 50589413070, 6259771, 23440836103, 3.716737, 297.590185
118722979840, 14603419, 50961198737, 6312927, 23610075307, 3.709864, 298.149407
119882833920, 14751091, 51332401945, 6366022, 23779047214, 3.724648, 296.973847
121042749440, 14898780, 51703083105, 6419081, 23947776974, 3.730768, 296.502393
122202664960, 15046488, 52072953739, 6472071, 24115809329, 3.718492, 297.481248
123417753600, 15199872, 52568446349, 6539943, 24337206725, 4.156913, 278.764272
124632872960, 15353317, 52949608612, 6594470, 24510828976, 3.887859, 298.063311
125848012800, 15506695, 53325633853, 6648297, 24682005319, 3.879181, 298.735134
127063173120, 15660073, 53700397825, 6701986, 24852560620, 3.876056, 298.981023
128278364160, 15813466, 54076563963, 6755848, 25023776839, 3.891767, 297.781569
129493585920, 15966845, 54451089864, 6809497, 25194194060, 3.839699, 301.827248
130708838400, 16120231, 54825303209, 6863110, 25364461963, 3.854428, 300.681470
131924121600, 16273635, 55199951249, 6916796, 25534665084, 3.835364, 302.183671
133193093120, 16432672, 55710226024, 6986179, 25759670799, 4.243510, 285.185035
134462115840, 16591717, 56091472549, 7040759, 25932917110, 3.946000, 306.699031
135731169280, 16750765, 56471131663, 7095152, 26105416954, 4.002446, 302.381012
137000284160, 16909823, 56852373662, 7149735, 26278626674, 4.072694, 297.179770
138269429760, 17068894, 57232198387, 7204162, 26451146551, 3.961977, 305.491819
139538616320, 17227987, 57612370379, 7258637, 26623753869, 4.021335, 300.992239
140807874560, 17387065, 57993502190, 7313186, 26796967023, 3.990158, 303.361166
142077173760, 17546148, 58373412370, 7367606, 26969567798, 4.017336, 301.318597
143346472960, 17705238, 58752808817, 7421960, 27141673622, 3.979168, 304.208831
144686622720, 17871608, 59280815751, 7493103, 27370947410, 4.525948, 282.386454
146026885120, 18038000, 59668704492, 7548575, 27546655011, 4.186363, 305.318442
147367188480, 18204393, 60055313390, 7603892, 27721876193, 4.155480, 307.596930
148707532800, 18370801, 60440902354, 7659113, 27896529557, 4.150112, 308.004206
150047907840, 18537208, 60826510691, 7714323, 28071251599, 4.216675, 303.149104
151388282880, 18703598, 61210797208, 7769365, 28245227973, 4.144863, 308.401327
152728678400, 18870016, 61596916079, 7824654, 28420139883, 4.239457, 301.524648
154069094400, 19036431, 61982393519, 7879855, 28594504160, 4.269611, 299.399714
155427072000, 19204970, 62470269062, 7947283, 28816224795, 4.570347, 283.363246
156785080320, 19373528, 62861274157, 8003233, 28993312637, 4.273397, 303.060459
158143160320, 19542094, 63251376949, 8059071, 29169917829, 4.211996, 307.494598
159501312000, 19710653, 63640940541, 8114829, 29346256370, 4.172906, 310.391457
160859514880, 19879237, 64031160386, 8170643, 29522865067, 4.236127, 305.770626
162217758720, 20047806, 64420492965, 8226364, 29699042716, 4.211811, 307.545202
163576033280, 20216370, 64809526213, 8282043, 29875173240, 4.164442, 311.050451
164934328320, 20384950, 65197438473, 8337612, 30050718773, 4.189821, 309.170987
166292654080, 20553560, 65587111558, 8393455, 30226960238, 4.216318, 307.234983
167663493120, 20723675, 66087213558, 8462678, 30452831960, 4.546029, 287.577133
169034352640, 20893798, 66480158657, 8519013, 30630293990, 4.258447, 307.002416
170405345280, 21063940, 66872486283, 8575207, 30807802201, 4.252832, 307.437601
171776358400, 21234087, 67265843156, 8631553, 30985824718, 4.287352, 304.966795
173147412480, 21404307, 67659982040, 8688071, 31164211791, 4.285809, 305.085706
174518497280, 21574459, 68051992394, 8744241, 31341544576, 4.289239, 304.848566
175889623040, 21744621, 68445167261, 8800529, 31519379310, 4.275348, 305.848184
177260779520, 21914791, 68838154321, 8856854, 31697187849, 4.287029, 305.021664
178631956480, 22084968, 69230329620, 8913055, 31874398454, 4.273089, 306.021300
180008785920, 22255865, 69717097007, 8980604, 32096671358, 4.496546, 292.012330
181384161280, 22426581, 70110743993, 9037002, 32274651181, 4.303240, 304.807577
182759557120, 22597302, 70506037912, 9093587, 32453478706, 4.245066, 308.989233
184135045120, 22768161, 70910504930, 9151442, 32636091633, 4.285417, 306.100335
185510553600, 22938889, 71303622257, 9207764, 32813771730, 4.248638, 308.754737
186886092800, 23109615, 71697008874, 9264109, 32991726466, 4.275047, 306.854265
188261672960, 23280342, 72090112506, 9320425, 33169431528, 4.191295, 312.995260
189637263360, 23451071, 72482841287, 9376713, 33346779964, 4.221021, 310.793345
191035095040, 23624353, 72984469360, 9445834, 33572153903, 4.580490, 291.033530
192432947200, 23797633, 73382031472, 9502769, 33751793186, 4.318187, 308.716529
193830860800, 23970923, 73780903475, 9559830, 33931978040, 4.354691, 306.142111
195228825600, 24144207, 74178132686, 9616711, 34111393634, 4.289950, 310.773581
196626841600, 24317512, 74575997617, 9673673, 34291169386, 4.341023, 307.128516
198024898560, 24490811, 74973324902, 9730548, 34470612509, 4.358513, 305.905022
199422996480, 24664123, 75370775185, 9787441, 34650152521, 4.373419, 304.871333
200821145600, 24837474, 75768490925, 9844409, 34829574004, 4.375389, 304.745225



